       hetero_est  error_est
AL1      0.006893   0.002416
AL2      0.007799   0.002408
AL5      0.008361   0.002285
AL7      0.008106   0.002603
AR1      0.007332   0.002800
AR10     0.006870   0.002791
AR11     0.008132   0.002922
AR12     0.007561   0.002955
AR23     0.007862   0.002822
AR24     0.007466   0.002779
AR25     0.007543   0.002964
AR4      0.007314   0.002667
AR5      0.007470   0.002686
ARO28    0.007889   0.002554
ASC1     0.007282   0.003695
ASC2     0.006407   0.002664
BA10     0.008184   0.003538
BA12     0.007844   0.003058
BA14     0.007566   0.003125
BA16     0.009084   0.003640
BA17     0.007778   0.003154
BA18     0.007635   0.003589
BA2      0.007349   0.002914
BA3      0.010597   0.003200
BA5      0.007129   0.002474
CE1      0.008876   0.003274
CE10     0.007265   0.002666
CE11     0.007635   0.002677
CE12     0.007472   0.002664
CE16     0.008996   0.003284
CE17     0.007804   0.002798
CE19     0.007500   0.002841
CE20     0.008460   0.003251
CE21     0.007977   0.003076
CE3      0.008081   0.002978
FN01     0.007082   0.002912
FN02     0.009407   0.003924
FN03     0.007206   0.002645
FN15     0.007716   0.002711
FN5      0.026090   0.005212
FN7      0.007596   0.003030
FN8      0.006508   0.002846
OIC1     0.009760   0.004108
OIC3     0.008099   0.002416
OIC4     0.007851   0.002980
RN10     0.007628   0.002653
RN11     0.007644   0.002944
RN12     0.007591   0.002815
RN13     0.009289   0.004052
RN14     0.008037   0.003313
RN2      0.007874   0.003025
RN2A     0.008562   0.003563
RN3      0.007209   0.002724
RN4      0.008415   0.003255
SPS10    0.005484   0.002833
SPS2     0.006335   0.003286
SPS3     0.023031   0.008539
SPS8     0.005832   0.002906
STH2     0.009170   0.004776
TM1      0.006710   0.002848
TM10     0.007408   0.002817
TM11     0.006993   0.002554
TM14     0.006950   0.002543
TM15     0.007234   0.002674
TM2      0.009581   0.004008
TM21     0.006764   0.002719
TM23     0.007298   0.002686
TM3      0.007028   0.002627
TMV4     0.006942   0.002681
TMV5     0.007131   0.002619
TMV6     0.007137   0.002580
