Simulation	Best_Replicate	log-likelihood	theta	sfs_sum	chi-squared	optimized_params
1	Round_4_Replicate_3	-768.05	2094.44	23387.19	412.86	0.5188,2.5722,0.7282,7.5512,2.9974,0.0684,0.077,0.4541
2	Round_4_Replicate_4	-1596.85	3966.96	23606.59	2404.32	7.26,0.0454,0.0742,4.8572,28.7706,1.1545,0.0464,0.3304
3	Round_4_Replicate_4	-1783.02	486.97	23280.11	4283.72	10.2789,0.0886,4.9514,17.113,0.1729,0.4072,0.4846,6.9917
4	Round_4_Replicate_3	-2416.67	1906.61	23289.24	10644.9	0.5154,0.4073,0.8593,6.0679,0.6358,2.6605,2.3002,3.8415
5	Round_4_Replicate_1	-1696.0	821.29	23598.5	2305.13	0.2101,0.0792,1.3609,10.4435,1.4955,0.1244,0.495,4.3151
6	Round_4_Replicate_1	-1509.51	2740.39	23549.46	2650.86	0.2442,0.489,0.4186,4.5197,4.2401,1.3843,0.2179,0.4514
7	Round_1_Replicate_12	-2183.88	2751.14	23360.53	12954.67	0.3774,1.8908,1.1405,2.7583,0.335,3.7471,0.5281,0.8091
8	Round_4_Replicate_4	-2213.86	849.52	23715.91	5959.07	0.1677,0.1982,1.5079,10.0939,2.185,0.5466,6.3721,2.4066
9	Round_4_Replicate_5	-1615.91	2622.17	23467.18	8238.81	0.6564,0.5493,1.1447,5.0746,1.4041,1.9215,0.1405,0.338
10	Round_1_Replicate_5	-869.76	2228.18	23449.02	576.86	0.2152,0.6698,0.7588,5.5149,3.8325,0.1267,0.9847,0.5399
11	Round_4_Replicate_1	-1559.23	1670.85	23403.77	2517.89	27.8703,0.3127,0.5477,6.6987,3.8794,0.9817,0.1254,1.2346
12	Round_4_Replicate_4	-1440.14	1956.8	23454.32	2089.51	9.1867,2.2868,0.2529,7.9694,5.248,0.1156,0.5341,0.4339
13	Round_4_Replicate_2	-830.33	2928.2	23560.15	510.82	0.0727,0.252,0.7962,4.0874,3.4278,0.3988,0.1613,0.4248
14	Round_4_Replicate_2	-1312.5	1150.05	23376.26	1584.51	7.8265,2.0107,0.9425,9.3201,1.7473,0.3692,1.5181,1.1543
15	Round_4_Replicate_2	-1203.1	2267.64	23499.83	1676.91	0.7666,0.8277,1.743,6.7397,0.2043,0.4254,0.0452,0.3881
16	Round_4_Replicate_4	-2553.25	1775.83	23474.36	24600.2	0.2523,11.6159,0.7404,6.8151,4.2739,3.5361,0.8419,0.3666
17	Round_4_Replicate_3	-2803.86	495.1	23296.95	7824.36	0.29,0.1025,0.5087,26.8815,6.3753,0.9522,16.0031,4.1055
18	Round_3_Replicate_3	-2290.11	1709.47	23553.94	5258.77	0.6992,1.3012,1.1278,4.4764,0.5507,1.5492,1.4158,1.2613
