Simulation	Best_Replicate	log-likelihood	theta	sfs_sum	chi-squared	optimized_params
1	Round_4_Replicate_1	-485.69	1105.75	19015.46	391.98	7.7298,0.516,0.2619,4.5873,4.3285
2	Round_4_Replicate_5	-340.76	2491.58	18795.22	112.63	4.1406,0.2559,1.9601,8.503,1.2617
3	Round_4_Replicate_4	-404.14	2775.46	18962.36	233.23	4.592,0.2006,0.4388,13.7601,0.6814
4	Round_3_Replicate_2	-462.72	2829.74	18864.92	381.17	3.6464,1.2615,3.7312,0.0982,1.8913
5	Round_4_Replicate_4	-429.11	1571.25	18842.02	312.32	7.1086,1.953,2.088,0.1557,12.9779
6	Round_4_Replicate_3	-312.55	1062.49	18893.2	61.01	9.5607,1.481,1.0992,1.2546,4.9213
7	Round_4_Replicate_3	-364.19	3012.52	19004.64	166.25	4.8699,0.1102,3.979,26.1325,0.735
8	Round_4_Replicate_2	-290.3	640.52	18740.41	17.13	19.478,1.4322,0.6589,1.2576,9.0572
9	Round_4_Replicate_4	-352.45	1330.33	18830.38	143.32	8.0233,1.9341,1.4538,0.4414,4.4518
10	Round_4_Replicate_5	-398.03	3682.99	19037.84	234.9	7.2335,0.3768,2.4489,5.1325,0.2836
11	Round_4_Replicate_3	-362.43	3138.49	19026.88	163.19	3.1633,0.7905,3.3307,1.0527,1.0394
12	Round_4_Replicate_4	-436.24	3334.2	18881.23	318.98	10.1855,0.4808,3.6575,3.1295,0.5128
13	Round_4_Replicate_4	-470.47	3001.95	18724.1	374.31	4.5485,0.4156,0.5047,5.2321,0.4812
14	Round_4_Replicate_3	-433.31	1701.02	18979.26	291.54	5.4004,0.6896,0.88,2.4381,2.2588
15	Round_4_Replicate_1	-296.93	2035.63	18752.01	28.44	7.2783,0.5576,2.5955,3.188,2.4188
16	Round_4_Replicate_4	-655.66	3608.82	18893.41	745.57	2.4514,1.1739,4.2997,0.2392,0.3232
17	Round_4_Replicate_3	-407.22	3753.17	19052.04	246.45	3.0125,0.6931,4.0778,1.2036,0.4388
18	Round_4_Replicate_3	-296.3	1858.1	19001.38	26.41	6.0915,0.6342,1.7158,2.7793,2.2907
19	Round_4_Replicate_2	-313.69	2757.87	18987.05	65.61	5.8595,0.2964,2.614,7.7391,0.8241
20	Round_4_Replicate_5	-535.87	3882.53	19044.99	528.21	2.6696,0.9027,3.4697,0.022,0.2713
21	Round_4_Replicate_1	-532.92	4174.27	19024.23	490.64	22.1686,0.0838,4.6533,27.0502,0.1861
22	Round_4_Replicate_2	-437.62	4535.85	19032.83	323.71	2.2614,0.6918,5.8382,0.3755,3.3086
23	Round_4_Replicate_4	-408.4	3450.1	19177.47	242.87	2.7875,0.5158,1.9931,3.1641,0.4869
24	Round_4_Replicate_5	-404.13	6176.6	18805.68	249.1	3.3135,0.2416,9.1479,5.0955,2.6765
25	Round_4_Replicate_1	-357.33	2956.45	18868.87	150.95	4.3455,0.6248,2.0382,2.6775,0.6226
26	Round_4_Replicate_3	-288.45	1940.54	19075.98	8.42	6.5072,0.5422,1.9182,3.4145,2.1339
27	Round_4_Replicate_3	-329.98	2028.78	18992.43	94.14	5.1044,1.1243,2.1559,0.9042,2.5316
28	Round_4_Replicate_2	-454.32	16385.39	19079.9	366.57	0.7251,0.1951,21.1583,1.1062,2.7238
29	Round_4_Replicate_1	-463.13	13050.23	18996.92	363.94	0.8839,0.1591,18.1408,4.704,0.8348
30	Round_4_Replicate_1	-385.52	3629.5	18944.48	205.14	4.256,0.105,3.5202,24.2899,0.3991
31	Round_4_Replicate_5	-468.41	6642.07	18935.81	394.76	1.5862,0.4828,8.826,0.4834,9.1416
32	Round_4_Replicate_3	-326.74	3371.79	19002.85	86.95	6.4798,0.235,2.99,8.6805,0.4654
33	Round_4_Replicate_5	-403.9	10127.64	18772.09	246.47	1.5334,0.1506,14.1156,7.8353,29.5145
34	Round_4_Replicate_1	-346.28	3222.14	18861.43	122.46	3.5213,0.4034,1.8576,4.9244,0.5314
35	Round_4_Replicate_1	-377.59	1816.7	19081.31	199.83	7.822,1.3286,2.3387,0.8535,3.0895
36	Round_4_Replicate_4	-498.54	3217.92	19174.02	436.25	2.9967,1.1288,3.0831,0.3464,0.5829
37	Round_1_Replicate_6	-472.22	3155.1	18943.53	401.87	4.1979,1.175,3.6969,0.2031,0.647
38	Round_4_Replicate_4	-290.49	1283.29	18933.45	16.67	9.1274,1.1236,1.359,1.3454,4.5326
39	Round_4_Replicate_1	-321.58	3199.68	18968.2	74.6	4.9548,0.3262,3.8709,5.403,0.9176
40	Round_4_Replicate_4	-588.52	3930.59	18952.94	653.32	20.6048,0.7074,0.0745,1.1365,0.1474
41	Round_3_Replicate_3	-441.43	1142.23	19201.84	296.4	7.3868,1.0926,0.6871,1.463,4.4862
42	Round_4_Replicate_1	-509.93	21031.19	18957.62	500.34	0.7455,0.1622,27.9894,0.016,0.9201
43	Round_4_Replicate_2	-301.74	3030.95	19020.57	35.57	5.175,0.338,3.4986,5.4786,0.9468
44	Round_4_Replicate_3	-412.93	1334.69	18889.81	259.82	7.5369,0.7969,0.805,2.2059,3.114
45	Round_4_Replicate_4	-385.74	3706.15	18929.59	208.69	6.2716,0.2301,2.676,9.4642,0.2973
46	Round_4_Replicate_4	-292.4	3027.49	18763.77	19.26	4.3884,0.4198,2.5686,4.3379,0.6966
47	Round_4_Replicate_3	-350.06	1161.79	18894.29	141.75	16.6058,1.4325,1.4875,0.9233,5.9477
48	Round_4_Replicate_4	-341.3	3432.75	18861.35	114.86	4.3849,0.414,2.7725,4.3719,0.4442
49	Round_4_Replicate_2	-464.27	901.17	18954.03	351.62	10.8542,0.1427,0.1138,16.9829,5.423
50	Round_4_Replicate_2	-290.04	2771.92	19007.62	15.08	4.5076,0.4883,2.8085,3.5543,1.1029
51	Round_4_Replicate_3	-299.51	1283.64	19033.65	34.98	9.1923,1.2358,1.4075,1.1783,4.7534
52	Round_4_Replicate_4	-512.95	3856.39	19018.4	487.73	5.4014,0.8135,3.1322,0.1084,0.2521
53	Round_4_Replicate_2	-297.0	2700.26	18957.06	25.68	5.1505,0.2965,2.5131,7.3093,0.9567
54	Round_4_Replicate_3	-347.52	352.36	18969.39	128.83	27.3108,5.9306,0.3879,0.1774,24.1697
55	Round_4_Replicate_5	-387.74	3324.75	19070.7	212.73	5.2174,0.6827,3.0886,1.6977,0.5141
56	Round_4_Replicate_3	-465.75	4069.72	19159.95	386.14	2.6293,0.7518,5.0713,0.3975,11.1915
57	Round_4_Replicate_5	-480.62	2613.3	18869.32	381.78	4.5276,0.4056,0.3993,5.6483,0.7441
58	Round_4_Replicate_4	-668.01	3509.44	18970.36	802.52	5.8753,0.9743,0.8124,0.8893,0.2435
59	Round_4_Replicate_5	-382.21	2817.47	19009.89	192.94	3.6675,0.5672,1.497,3.3122,0.7467
60	Round_4_Replicate_3	-424.06	3728.05	19093.26	288.83	4.5795,0.6517,2.6254,1.4967,0.2981
61	Round_4_Replicate_3	-390.75	2644.42	18872.97	220.87	4.7356,0.8131,2.8581,1.0681,1.7596
62	Round_4_Replicate_1	-287.25	2025.45	19091.06	8.07	6.098,0.547,2.1377,3.4143,2.128
63	Round_4_Replicate_1	-314.32	3117.39	19173.04	62.49	6.1097,0.1179,3.288,20.5029,0.6064
64	Round_1_Replicate_4	-430.99	3068.28	18784.28	314.13	4.2018,0.8866,3.468,0.4879,1.4177
65	Round_1_Replicate_12	-480.79	3780.41	19053.89	411.26	2.8491,0.8752,4.688,0.2248,0.4794
66	Round_4_Replicate_1	-434.22	21268.75	18805.75	310.56	0.473,0.1382,28.8005,2.4065,0.8183
67	Round_4_Replicate_4	-578.74	3312.78	19055.03	626.24	4.742,0.927,1.5407,0.784,0.3626
68	Round_4_Replicate_2	-354.45	2883.66	19067.89	140.76	4.4319,0.4314,3.4615,3.3422,1.854
69	Round_4_Replicate_1	-370.26	3230.92	18750.73	182.68	3.6001,0.7676,3.5368,1.2166,0.7325
70	Round_4_Replicate_3	-366.7	528.91	19033.5	169.99	17.2017,5.1286,0.5787,0.1451,14.7933
71	Round_4_Replicate_3	-510.46	3790.73	18896.27	464.05	10.178,0.2008,0.0421,11.5127,0.1984
72	Round_4_Replicate_1	-435.2	3526.48	19147.82	319.2	5.2751,0.8971,3.761,0.5257,0.4318
73	Round_4_Replicate_5	-398.63	14025.64	18759.98	228.16	0.6856,0.1555,17.6158,5.1738,4.2707
74	Round_4_Replicate_3	-344.47	3188.51	18917.91	122.94	4.3926,0.3533,1.686,5.9884,0.4909
75	Round_4_Replicate_1	-391.28	3700.32	18824.69	223.18	8.5037,0.2128,2.6017,10.2356,0.2728
76	Round_4_Replicate_4	-477.63	3847.42	19111.2	403.88	4.7158,0.7886,4.5153,0.4059,0.3612
77	Round_4_Replicate_4	-289.65	2664.73	18910.09	16.14	4.5366,0.5136,2.4604,3.2477,1.123
78	Round_4_Replicate_3	-472.11	2238.11	18786.06	401.37	4.363,1.4877,2.408,0.1342,2.3012
79	Round_4_Replicate_4	-524.06	3679.71	18742.09	498.43	9.5006,0.3433,0.1109,6.285,0.2064
80	Round_4_Replicate_5	-340.19	2629.53	18829.3	115.14	4.517,0.5954,1.7979,2.6833,0.9102
81	Round_4_Replicate_3	-579.57	2540.33	18648.45	582.99	4.0128,0.6531,0.5898,3.6837,0.7468
82	Round_4_Replicate_4	-486.31	3766.53	18857.33	426.92	4.6012,0.7681,2.6516,0.5968,0.2591
83	Round_4_Replicate_4	-422.97	2534.6	18685.83	299.21	4.5944,1.1754,3.3207,0.325,3.4016
84	Round_4_Replicate_4	-359.08	3258.64	19015.69	160.1	3.6121,0.7099,3.9895,1.1729,1.5326
85	Round_4_Replicate_5	-557.67	4160.39	19014.7	553.27	16.4804,0.4015,0.1947,3.5317,0.1325
86	Round_4_Replicate_2	-385.58	2056.83	18678.24	219.53	7.3783,1.124,2.6471,0.6668,4.3516
87	Round_4_Replicate_3	-474.79	470.46	19065.44	380.86	17.9893,1.3525,0.1767,1.8264,11.5735
88	Round_4_Replicate_3	-405.62	3469.23	18929.3	245.49	3.5831,0.4901,4.3702,2.1176,3.1604
89	Round_4_Replicate_4	-361.6	727.49	19007.13	156.95	13.1335,3.2658,0.8355,0.2926,11.1135
90	Round_4_Replicate_1	-305.62	2666.34	18740.38	48.73	4.629,0.4737,2.16,4.0967,0.9106
91	Round_4_Replicate_4	-380.52	718.43	18940.22	195.02	12.5261,3.7424,0.8098,0.2456,9.5918
92	Round_4_Replicate_5	-314.57	2748.74	18735.9	70.14	5.5874,0.582,2.8133,2.8772,0.9135
93	Round_4_Replicate_3	-372.9	3701.15	19109.16	175.69	4.5732,0.33,1.9611,6.1646,0.3042
94	Round_4_Replicate_1	-410.39	18628.6	19095.51	252.09	0.5422,0.1229,24.2959,6.8104,4.679
95	Round_4_Replicate_5	-410.23	3783.7	19161.96	259.65	8.1951,0.3074,4.1523,5.9692,0.357
96	Round_4_Replicate_2	-324.7	3174.72	18724.2	87.38	4.3284,0.5953,3.2025,2.3664,0.6591
