       hetero_est  error_est
AL1      0.013515   0.003444
AL2      0.015905   0.003465
AL5      0.016746   0.003244
AL7      0.015383   0.003718
AR1      0.014959   0.004005
AR10     0.014413   0.004079
AR11     0.014607   0.004360
AR12     0.014388   0.004116
AR23     0.015233   0.004682
AR24     0.014062   0.003979
AR25     0.014294   0.004426
AR4      0.015136   0.004099
AR5      0.016375   0.003776
ARO28    0.015285   0.003808
ASC1     0.016201   0.005755
ASC2     0.013351   0.003987
BA10     0.016493   0.005576
BA12     0.015702   0.005041
BA14     0.014618   0.004474
BA16     0.016491   0.005804
BA17     0.016212   0.005080
BA18     0.014581   0.005316
BA2      0.015110   0.004102
BA3      0.017362   0.005131
BA5      0.014274   0.003562
CE1      0.015210   0.005221
CE10     0.014067   0.003649
CE11     0.016478   0.003677
CE12     0.015266   0.003884
CE16     0.017291   0.005001
CE17     0.014312   0.004137
CE19     0.014426   0.004246
CE20     0.016022   0.005171
CE21     0.014466   0.004579
CE3      0.014968   0.004794
FN01     0.015285   0.004667
FN02     0.016228   0.005489
FN03     0.014173   0.003746
FN15     0.015465   0.004219
FN7      0.015060   0.004549
FN8      0.011332   0.004151
OIC1     0.018225   0.006949
OIC3     0.017583   0.003730
OIC4     0.015813   0.004497
RN10     0.015266   0.003984
RN11     0.013856   0.004628
RN12     0.014465   0.004481
RN13     0.018886   0.007383
RN14     0.015696   0.004975
RN2      0.014940   0.004908
RN2A     0.017179   0.005820
RN3      0.014227   0.003942
RN4      0.015799   0.005399
SPS10    0.013024   0.003928
SPS2     0.012809   0.004297
SPS8     0.013751   0.004134
STH2     0.018631   0.007094
TM1      0.013832   0.004281
TM10     0.013878   0.003946
TM11     0.015436   0.003636
TM14     0.014209   0.003670
TM15     0.015568   0.003770
TM2      0.019404   0.006613
TM21     0.014253   0.004089
TM23     0.015237   0.004051
TM3      0.014940   0.003592
TMV4     0.014983   0.003904
TMV5     0.015179   0.003858
TMV6     0.015098   0.003916
