       reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
AL1      5349845                 158440                 988571                  1237                     28732              5319876
AL2      7178164                 236190                1288567                  1713                     44019              7132432
AL5      9030855                 302384                1677203                  2154                     56807              8971894
AL7      6466191                 219395                1301090                  1572                     45837              6418782
AR1      2916307                 105503                 574251                   749                     21020              2894538
AR10     2633938                 105190                 519311                   646                     28217              2605075
AR11     2554149                  91079                 538706                   625                     20633              2532891
AR12     2124147                  69792                 427635                   527                     13998              2109622
AR23     2469493                  90579                 453807                   568                     19041              2449884
AR24     2462612                  87779                 505597                   574                     20102              2441936
AR25     2134546                  70154                 437806                   571                     12772              2121203
AR4      4699061                 160292                 854340                  1141                     26930              4670990
AR5      5790024                 210109                1046061                  1358                     34916              5753750
ARO28    5296752                 174973                 979808                  1336                     30788              5264628
ASC1     1494210                  48708                 290000                   345                      5441              1488424
ASC2     3359194                 117390                 607939                   799                     21888              3336507
BA10     1660595                  72851                 353075                   399                     22810              1637386
BA12     1916829                  79217                 427204                   477                     20548              1895804
BA14     1965664                  70311                 402600                   465                     14184              1951015
BA16     1749537                  82989                 420392                   396                     31204              1717937
BA17     1884616                  72630                 455935                   476                     16075              1868065
BA18     1020762                  36758                 271533                   252                      8033              1012477
BA2      3481561                 112834                 657068                   812                     14660              3466089
BA3      2042489                  65544                 413513                   481                      9132              2032876
BA5      5560141                 172295                1073339                  1301                     28096              5530744
CE1      1574855                  50107                 334971                   380                      8532              1565943
CE10     4290682                 141520                 816525                  1054                     22674              4266954
CE11     5534433                 184580                1049112                  1296                     28026              5505111
CE12     4759848                 153931                 924028                  1137                     24409              4734302
CE16     2318175                  94520                 495690                   489                     25980              2291706
CE17     3245824                 125705                 648366                   737                     28622              3216465
CE19     2512724                  87140                 493862                   642                     16367              2495715
CE20     1655170                  66273                 355186                   417                     18778              1635975
CE21     2369531                  87393                 494185                   534                     19297              2349700
CE3      2141467                  69476                 390003                   471                     12444              2128552
FN01     2995489                  96343                 586205                   708                     12844              2981937
FN02     1555711                  60168                 290572                   396                     13537              1541778
FN03     4447642                 134947                 852818                  1068                     20078              4426496
FN15     2481125                  81967                 533532                   610                     16508              2464007
FN5        63104                   2351                  36732                    27                       613                62464
FN7      2061554                  71900                 421025                   483                     15803              2045268
FN8      1078712                  23852                 217252                   254                      3424              1075034
OIC1      897449                  27999                 175309                   229                      3716               893504
OIC3     8935164                 283301                1649542                  2148                     39152              8893864
OIC4     2801447                  90329                 488338                   683                     12530              2788234
RN10     4933783                 183834                 924503                  1196                     37593              4894994
RN11     1846964                  67302                 391527                   421                     16673              1829870
RN12     3072273                 106559                 577449                   705                     18625              3052943
RN13     1134587                  56883                 210508                   289                     17091              1117207
RN14     1722295                  57541                 340725                   406                     11932              1709957
RN2      2223293                 102100                 421054                   509                     29656              2193128
RN2A     1669563                  74070                 322484                   415                     19781              1649367
RN3      3287828                 131182                 588076                   771                     33095              3253962
RN4      1687133                  63120                 336784                   403                     14720              1672010
SPS10    4374181                 204835                 835331                  1063                     55705              4317413
SPS2     4014046                 132004                 786223                   920                     20243              3992883
SPS3      127028                   5268                  66198                    23                      1811               125194
SPS8     4230321                 187292                 810265                  1032                     54263              4175026
STH2      767618                  27031                 158248                   193                      5002               762423
TM1      3051209                 122748                 598538                   693                     31575              3018941
TM10     4168502                 151674                 856374                  1056                     35829              4131617
TM11     6314147                 209347                1149919                  1514                     35202              6277431
TM14     4641867                 169418                 865747                  1073                     33922              4606872
TM15     5157763                 200452                 970906                  1190                     43888              5112685
TM2      2525565                 166084                 530850                   590                     71534              2453441
TM21     4318296                 161516                 915051                  1016                     37071              4280209
TM23     4704809                 160530                 889474                  1136                     28114              4675559
TM3      5985125                 207182                1195030                  1348                     39866              5943911
TMV4     4506950                 163584                 785038                  1110                     30281              4475559
TMV5     5507792                 207975                1049836                  1284                     44898              5461610
TMV6     5046603                 173400                 979043                  1273                     30381              5014949
