      clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens   nsites nhetero heterozygosity
AL1          1177586            999131             2095             2170        173818 16595125   44137        0.00266
AL2          1616422           1368896             3022             2875        241074 23001995   62420        0.00271
AL5          1908487           1610971             4212             3176        289797 27674273   81386        0.00294
AL7          1519350           1289492             2849             2784        223489 21321329   58243        0.00273
AR1           905995            801029             1352             1403        101968  9732314   27256        0.00280
AR10          857362            768787             1028             1238         85952  8204428   23050        0.00281
AR11          795773            706757             1192             1246         86293  8235866   23211        0.00282
AR12          695179            623497              977              966         69581  6648119   18876        0.00284
AR23          896208            813792             1086             1201         79815  7614752   21878        0.00287
AR24          760162            674503             1081             1223         83207  7945933   22501        0.00283
AR25          733471            660239              984             1040         71044  6783170   19452        0.00287
AR4          1369145           1174794             2149             2288        189601 18088793   49868        0.00276
AR5          1735605           1492648             2706             2732        237105 22611966   64551        0.00285
ARO28        1492180           1289035             2250             2425        197997 18889617   52361        0.00277
ASC1          642666            595931              616              744         45252  4313833    9293        0.00215
ASC2          938524            816500             1447             1489        118885 11343402   24015        0.00212
BA10          756848            709439              659              724         45594  4347138   12124        0.00279
BA12          730905            667867              847              983         60690  5790598   16161        0.00279
BA14          710464            643741              944             1009         64300  6137780   16621        0.00271
BA16          758322            705461              816              853         50603  4824226   13546        0.00281
BA17          755358            694319              834              988         58888  5615926   15412        0.00274
BA18          441073            407350              391              534         32683  3115526    8321        0.00267
BA2          1085625            955575             1517             1730        126419 12058883   31807        0.00264
BA3           762767            692859             1521             1264         66407  6331458   17334        0.00274
BA5          1336898           1131307             2260             2308        200768 19160586   50474        0.00263
CE1           611893            559664              742              841         50346  4802450   13893        0.00289
CE10         1282348           1114516             1867             2043        163564 15603506   42456        0.00272
CE11         1622634           1395929             2375             2599        221376 21119147   58925        0.00279
CE12         1337524           1145510             2079             2358        187282 17865758   48909        0.00274
CE16          963445            895053             1066             1021         65645  6256863   18292        0.00292
CE17         1000023            879814             1452             1665        116749 11134223   30611        0.00275
CE19          811007            723688             1165             1239         84604  8074080   22651        0.00281
CE20          677206            624881              766              848         50362  4803198   13671        0.00285
CE21          806724            726145             1055             1193         77943  7434553   21934        0.00295
CE3           797931            729202              930              946         66424  6338081   17768        0.00280
FN01          985372            873121             1362             1655        108843 10375837   29432        0.00284
FN02          619818            567761             1009              936         49641  4728304   13896        0.00294
FN03         1166251           1000574             1968             1999        161392 15397984   42784        0.00278
FN15          802958            719781             1144             1140         80656  7703555   22386        0.00291
FN5            46036             45871                8               12           142    13392     103        0.00769
FN7           766296            700240              863              945         63879  6096945   17696        0.00290
FN8           297177            248819              516              579         47193  4513419   11931        0.00264
OIC1          438488            414242              432              493         23189  2205008    6308        0.00286
OIC3         2232282           1931494             3983             3161        293222 28011034   90185        0.00322
OIC4         1009585            914413             1229             1282         92298  8806088   25409        0.00289
RN10         1439122           1247541             2115             2413        186544 17786258   49227        0.00277
RN11          646725            581903              717              889         62923  6008057   16987        0.00283
RN12         1016591            902095             1347             1554        111255 10611621   29432        0.00277
RN13          574844            546662              424              557         26888  2557383    7602        0.00297
RN14          661684            603608              846              799         56109  5352374   15369        0.00287
RN2           822353            745556              991             1145         74069  7062370   19951        0.00282
RN2A          779230            734322              595              768         43081  4103773   11891        0.00290
RN3           980532            860040             1448             1615        117039 11168413   31431        0.00281
RN4           687124            631668              793              900         53418  5093586   14557        0.00286
SPS10        1365346           1182085             1847             2072        178835 17043884   21540        0.00126
SPS2         1207937           1044265             2215             2228        158192 15090599   20918        0.00139
SPS3           94491             93924               49               32           477    45139     295        0.00654
SPS8         1421152           1259699             1628             1839        157255 14991937   19795        0.00132
STH2          378546            358492              334              434         19203  1827204    4210        0.00230
TM1           918772            802340             1380             1496        113213 10801980   25735        0.00238
TM10         1151469           1002116             1839             1798        145206 13858234   32662        0.00236
TM11         1649703           1402360             2772             2602        241604 23061177   57104        0.00248
TM14         1295834           1104238             2055             2238        186935 17829853   41698        0.00234
TM15         1463724           1254243             2326             2353        204350 19489405   45927        0.00236
TM2          1178765           1112501             1007             1211         63062  5999309   15967        0.00266
TM21         1269119           1104886             1952             2075        159695 15232368   35949        0.00236
TM23         1367634           1181451             1966             2191        181620 17324753   40828        0.00236
TM3          1527497           1290876             2592             2646        231065 22048437   52611        0.00239
TMV4         1363648           1181635             1928             2130        177605 16940137   38730        0.00229
TMV5         1524666           1300026             2533             2615        219074 20897780   49196        0.00235
TMV6         1429107           1222239             2214             2398        201931 19264274   45111        0.00234
